id,channel_bandwidth,event_timestamp,mac_address,noise_floor,primary_channel,primary_phy,received_antenna_id,rssi,secondary_channel,transmit_protocol,beacon_event_id,id,area_ceiling,area_count,area_floor,area_radius,barometer_accuracy,classification_type,epoch2019,geodetic_altitude_meters,height_above_takeoff_meters,height_type,horizontal_accuracy,identity_type,latitude,longitude,operational_status,operator_geodetic_altitude_meters,operator_latitude,operator_location_type,operator_longitude,pressure_altitude_meters,speed_accuracy,speed_meters_second,time_of_applicability,time_of_applicability_accuracy,track_direction,ua_type,uas_category,uas_class,unique_id,unique_id_length,vertical_accuracy,vertical_speed_meters_second,epoch2019_datetime,,,,
17972120,0,49:34.9,60601f0acffe,0,2437,0,WIFI_3,-63,0,0,17972115,17972115,24,1,24,0,0,0,154482573,287,72,0,10,1,39.96633148,-86.00460815,2,218,39.96644974,1,-86.00469971,-1000,2,0,29740,10,361,2,0,0,1581F6Z9A23ACML31DP9,20,3,-4,11/23/2023 23:49,,,,
17972119,0,49:34.9,60601f0acffe,0,2437,0,WIFI_3,-63,0,0,17972114,17972114,24,1,24,0,0,0,154482573,288,73,0,10,1,39.96633148,-86.00460815,2,218,39.96644974,1,-86.00469971,-1000,2,0,29738,10,361,2,0,0,1581F6Z9A23ACML31DP9,20,3,-4,11/23/2023 23:49,,,,
17972117,0,49:34.8,60601f0acffe,0,2437,0,WIFI_3,-70,0,0,17972112,17972112,24,1,24,0,0,0,154482572,288,73,0,10,1,39.96633148,-86.00460815,2,218,39.96644974,1,-86.00469971,-1000,2,0,29738,10,361,2,0,0,1581F6Z9A23ACML31DP9,20,3,-4,11/23/2023 23:49,,,,
17972115,0,49:34.8,60601f0acffe,0,2437,0,WIFI_3,-70,0,0,17972110,17972110,24,1,24,0,0,0,154482572,292,77,0,10,1,39.96633148,-86.00460815,2,218,39.96644974,1,-86.00469971,-1000,2,0,29728,10,361,2,0,0,1581F6Z9A23ACML31DP9,20,3,-4,11/23/2023 23:49,,,,
17972114,0,49:34.7,60601f0acffe,0,2437,0,WIFI_3,-70,0,0,17972109,17972109,24,1,24,0,0,0,154482573,288,73,0,10,1,39.96633148,-86.00460815,2,218,39.96644974,1,-86.00469971,-1000,2,0,29738,10,361,2,0,0,1581F6Z9A23ACML31DP9,20,3,-4,11/23/2023 23:49,,,,
17972103,0,49:33.6,60601f0acffe,0,2437,0,WIFI_3,-58,0,0,17972098,17972098,24,1,24,0,0,0,154482572,292,77,0,10,1,39.96633148,-86.00460815,2,218,39.96644974,1,-86.00469971,-1000,2,0,29728,10,361,2,0,0,1581F6Z9A23ACML31DP9,20,3,-4,11/23/2023 23:49,,,,
17972102,0,49:33.6,60601f0acffe,0,2437,0,WIFI_3,-58,0,0,17972097,17972097,24,1,24,0,0,0,154482572,292,77,0,10,1,39.96633148,-86.00460815,2,218,39.96644974,1,-86.00469971,-1000,2,0,29728,10,361,2,0,0,1581F6Z9A23ACML31DP9,20,3,-4,11/23/2023 23:49,,,,
17972101,0,49:33.6,60601f0acffe,0,2437,0,WIFI_3,-58,0,0,17972096,17972096,24,1,24,0,0,0,154482572,293,78,0,10,1,39.96633148,-86.00460815,2,218,39.96644974,1,-86.00469971,-1000,2,0,29726,10,361,2,0,0,1581F6Z9A23ACML31DP9,20,3,-4.5,11/23/2023 23:49,,,,
17972097,0,49:33.5,60601f0acffe,0,2437,0,WIFI_3,-58,0,0,17972092,17972092,24,1,24,0,0,0,154482572,293,78,0,10,1,39.96633148,-86.00460815,2,218,39.96644974,1,-86.00469971,-1000,2,0,29726,10,361,2,0,0,1581F6Z9A23ACML31DP9,20,3,-4.5,11/23/2023 23:49,,,,
17972096,0,49:33.5,60601f0acffe,0,2437,0,WIFI_3,-58,0,0,17972091,17972091,24,1,24,0,0,0,154482572,293,78,0,10,1,39.96633148,-86.00460815,2,218,39.96644974,1,-86.00469971,-1000,2,0,29726,10,361,2,0,0,1581F6Z9A23ACML31DP9,20,3,-4.5,11/23/2023 23:49,,,,
